ticker,date,gvkey,comp_name,fiscal_year,fiscal_quarter,assets,net_income,ebitda,revenue,rd_expense,cap_ex_ytd,sector_code
GM,2008-03-31,5073,GENERAL MOTORS CO,2008,1,145741.0,-3282.0,2695.0,42383.0,,1945.0,25
GM,2008-06-30,5073,GENERAL MOTORS CO,2008,2,136046.0,-15513.0,-1170.0,38010.0,,4125.0,25
GM,2008-09-30,5073,GENERAL MOTORS CO,2008,3,110425.0,-2552.0,-719.0,37808.0,,5527.0,25
GM,2008-12-31,5073,GENERAL MOTORS CO,2008,4,91047.0,-9596.0,-818.0,30778.0,8012.0,7530.0,25
GM,2009-03-31,5073,GENERAL MOTORS CO,2009,1,82290.0,-5975.0,-1786.0,22431.0,,1566.0,25
GM,2009-06-30,5073,GENERAL MOTORS CO,2009,2,,-12905.0,-3768.0,23047.0,,,25
GM,2009-09-30,5073,GENERAL MOTORS CO,2009,3,144344.0,127140.0,525.0,26784.0,,4398.0,25
GM,2009-12-31,5073,GENERAL MOTORS CO,2009,4,136295.0,-3439.0,1250.0,32327.0,6051.0,5431.0,25
GM,2010-03-31,5073,GENERAL MOTORS CO,2010,1,136021.0,1068.0,3234.0,31476.0,,755.0,25
GM,2010-06-30,5073,GENERAL MOTORS CO,2010,2,131899.0,1536.0,3880.0,33174.0,,1851.0,25
GM,2010-09-30,5073,GENERAL MOTORS CO,2010,3,137238.0,2162.0,3693.0,34060.0,,3112.0,25
GM,2010-12-31,5073,GENERAL MOTORS CO,2010,4,138898.0,1406.0,2058.0,36882.0,6962.0,4200.0,25
GM,2011-03-31,5073,GENERAL MOTORS CO,2011,1,145846.0,3366.0,2989.0,36194.0,,1322.0,25
GM,2011-06-30,5073,GENERAL MOTORS CO,2011,2,150415.0,2992.0,4135.0,39373.0,,2494.0,25
GM,2011-09-30,5073,GENERAL MOTORS CO,2011,3,148497.0,2107.0,3516.0,36719.0,,4643.0,25
GM,2011-12-31,5073,GENERAL MOTORS CO,2011,4,144603.0,725.0,2380.0,37990.0,8124.0,7078.0,25
GM,2012-03-31,5073,GENERAL MOTORS CO,2012,1,150194.0,1315.0,3171.0,37759.0,,2298.0,25
GM,2012-06-30,5073,GENERAL MOTORS CO,2012,2,151987.0,1846.0,3452.0,37614.0,,4669.0,25
GM,2012-09-30,5073,GENERAL MOTORS CO,2012,3,155456.0,1833.0,3272.0,37576.0,,6841.0,25
GM,2012-12-31,5073,GENERAL MOTORS CO,2012,4,149422.0,1194.0,-3461.0,39307.0,7368.0,9118.0,25
GM,2013-03-31,5073,GENERAL MOTORS CO,2013,1,153775.0,1175.0,2277.0,36884.0,,2418.0,25
GM,2013-06-30,5073,GENERAL MOTORS CO,2013,2,163110.0,1414.0,2908.0,39075.0,,4959.0,25
GM,2013-09-30,5073,GENERAL MOTORS CO,2013,3,168539.0,1717.0,3631.0,38983.0,,7513.0,25
GM,2013-12-31,5073,GENERAL MOTORS CO,2013,4,166344.0,1040.0,1796.0,40485.0,7200.0,9819.0,25
GM,2014-03-31,5073,GENERAL MOTORS CO,2014,1,173606.0,213.0,1795.0,37408.0,,2379.0,25
GM,2014-06-30,5073,GENERAL MOTORS CO,2014,2,179098.0,278.0,2863.0,39649.0,,5227.0,25
GM,2014-09-30,5073,GENERAL MOTORS CO,2014,3,176908.0,1471.0,3593.0,39255.0,,8258.0,25
GM,2014-12-31,5073,GENERAL MOTORS CO,2014,4,177677.0,1987.0,3719.0,39617.0,7400.0,11867.0,25
GM,2015-03-31,5073,GENERAL MOTORS CO,2015,1,179918.0,945.0,2950.0,35712.0,,3936.0,25
GM,2015-06-30,5073,GENERAL MOTORS CO,2015,2,185812.0,1117.0,4273.0,38180.0,,9993.0,25
GM,2015-09-30,5073,GENERAL MOTORS CO,2015,3,189000.0,1359.0,4441.0,38843.0,,16360.0,25
GM,2015-12-31,5073,GENERAL MOTORS CO,2015,4,194520.0,6266.0,3698.0,39621.0,7500.0,23032.0,25
GM,2016-03-31,5073,GENERAL MOTORS CO,2016,1,203618.0,1953.0,4267.0,33016.0,,7396.0,25
